Name: CCTV-1, URL: http://221.205.180.219:8001/rtp/226.0.2.18:8056$1920x1080, Date: 2024-09-30, Resolution: 1920x1080, Response Time: 108 ms
Name: CCTV-1, URL: http://221.205.180.219:8002/rtp/226.0.2.18:8056$1920x1080, Date: 2024-10-03, Resolution: 1920x1080, Response Time: 104 ms
Name: CCTV-1, URL: http://171.116.12.247:8085/rtp/226.0.2.18:8056$1920x1080, Date: 2024-10-14, Resolution: 1920x1080, Response Time: 110 ms
Name: CCTV-1, URL: http://120.55.49.231:3095/rtp/233.50.201.222:5140, Date: 2024-03-02, Resolution: None, Response Time: 3159 ms
Name: CCTV-1, URL: http://60.189.61.82:9999/rtp/233.50.201.99:5140$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 110 ms
Name: CCTV-1, URL: http://120.55.49.231:3095/rtp/233.50.201.99:5140, Date: 2024-03-02, Resolution: None, Response Time: 3159 ms
Name: CCTV-1, URL: http://183.141.3.6:8888/rtp/233.50.201.99:5140$1920x1080, Date: 2024-10-14, Resolution: 1920x1080, Response Time: 109 ms
Name: CCTV-1, URL: http://183.145.74.110:7777/rtp/233.50.201.99:5140$1920x1080, Date: 2024-10-14, Resolution: 1920x1080, Response Time: 109 ms
Name: CCTV-1, URL: http://125.109.62.72:9999/rtp/233.50.201.99:5140$1920x1080, Date: 2024-10-04, Resolution: 1920x1080, Response Time: 108 ms
Name: CCTV-1, URL: http://115.205.84.167:9999/rtp/233.50.201.99:5140$1920x1080, Date: 2024-10-13, Resolution: 1920x1080, Response Time: 110 ms
Name: CCTV-1, URL: http://49.67.191.102:4022/rtp/239.49.1.1:6000$1920x1080, Date: 2024-10-15, Resolution: 1920x1080, Response Time: 109 ms
Name: CCTV-1, URL: http://61.53.168.147:18888/rtp/225.1.4.1:1030$1920x1080, Date: 2024-10-13, Resolution: 1920x1080, Response Time: 108 ms
Name: CCTV-1, URL: http://144.52.199.11:8888/rtp/239.21.1.120:5002, Date: 2024-08-13, Resolution: None, Response Time: 747 ms
Name: CCTV-1, URL: http://144.52.199.11:8888/rtp/239.21.1.1:5002, Date: 2024-08-13, Resolution: None, Response Time: 747 ms
Name: CCTV-1, URL: http://122.9.151.210:887/rtp/238.255.2.91:5999, Date: 2024-03-02, Resolution: None, Response Time: 3225 ms
Name: CCTV-1, URL: http://123.56.129.203:4310/rtp/225.1.8.1:8008, Date: 2024-02-02, Resolution: None, Response Time: 3235 ms
Name: CCTV-1, URL: http://123.56.129.203:4310/rtp/225.1.8.101:8080, Date: 2024-02-02, Resolution: None, Response Time: 3235 ms
Name: CCTV-1, URL: http://116.22.28.55:4022/rtp/239.77.0.129:5146$1920x1080, Date: 2024-10-15, Resolution: 1920x1080, Response Time: 110 ms
Name: CCTV-1, URL: http://223.241.247.214:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 554 ms
Name: CCTV-1, URL: http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 512 ms
Name: CCTV-1, URL: http://113.57.20.158:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 498 ms
Name: CCTV-1, URL: http://61.157.139.15:9901/tsfile/live/2371_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 526 ms
Name: CCTV-1, URL: http://210.22.75.86:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 473 ms
Name: CCTV-1, URL: http://60.12.183.46:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0, Date: None, Resolution: None, Response Time: 907 ms
Name: CCTV-1, URL: http://61.136.67.238:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 1134 ms
Name: CCTV-1, URL: http://58.19.38.162:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 472 ms
Name: CCTV-1, URL: http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 603 ms
Name: CCTV-1, URL: http://58.216.229.130:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 605 ms
Name: CCTV-1, URL: http://61.138.128.226:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 521 ms
Name: CCTV-1, URL: http://58.51.111.46:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 944 ms
Name: CCTV-1, URL: http://58.57.21.166:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 1017 ms
Name: CCTV-1, URL: http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 481 ms
Name: CCTV-1, URL: http://117.27.190.42:9998/tsfile/live/23232_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 489 ms
Name: CCTV-1, URL: http://220.164.192.48:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0, Date: None, Resolution: None, Response Time: 731 ms
Name: CCTV-1, URL: http://36.35.16.98:9901/tsfile/live/0001_18.m3u8?key=txiptv&playlive=0&authid=0, Date: None, Resolution: None, Response Time: 1133 ms
